ID,Lon,Lat,nrSeryjny
25181164,18.341,54.62,CAM16003406
13862446,20.995,49.993,CAM15001378
8947143,17.554,50.794,CAM15001388
13861852,19.23,51.342,CAM15001383
13861967,20.124,51.775,CAM15001384
12825846,18.402,49.96,CAM15001371
12807853,22.736,51.304,CAM15001373
13862149,21.065,52.152,CAM15001387
13500954,15.658,52.091,CAM15001363
13862413,21.857,49.684,CAM15001386
11337015,20.959,52.834,CAM15001377
13500662,20.253,52.208,CAM15001367
71652927,20.867,52.219,CAM21003328
12931401,18.849,50.434,CAM15001379
13861996,20.735,50.866,CAM15001375
12825860,18.582,50.199,CAM15001364
11423333,21.638,52.439,CAM15001374
13862031,22.901,51.299,CAM15001368
71652912,21.103,52.308,CAM21003327
13501525,19.89,49.667,CAM15001390
10764316,23.29,53.048,CAM15001389
13501468,16.24,51.707,CAM15001381
71652931,20.891,52.242,CAM21003329
12931412,21.392,52.041,CAM15001382
13861774,20.022,51.556,CAM15001362
12931379,21.262,52.222,CAM15001369
12825830,21.944,50.572,CAM15001370
13862113,21.305,53.826,CAM15001376
13862235,21.788,50.232,CAM15001385
12825720,21.032,52.14,CAM15001366
71652896,21.045,52.303,CAM21003326
13501544,20.229,53.744,CAM15001372
