ID,Lon,Lat,nrSeryjny
356890,17.202,52.397,202
8000456,16.37,50.851,373
325090,18.282,53.922,243
69598266,17.981,50.487,593-072-73160
13226482,19.421,51.773,593-072/72037
314190,22.812,49.939,593-072/71510
298830,22.441,51.3,120
28371801,20.958,52.338,593-072/71601
308960,20.012,50.086,127
326390,18.312,53.929,242
6664866,18.717,49.942,593-072/72033
318290,16.24,51.368,228
570288,23.305,53.302,593-072/71676
5816376,19.819,53.666,354
349430,17.225,52.229,189
1203347,23.029,50.716,593-072/71701
331990,21.339,53.761,273
3212650,18.992,49.901,593-072/71967
570299,20.598,49.918,593-072/71675
30109709,21.007,52.21,593-071/71377
355300,16.785,53.164,125
320610,19.199,52.644,267
72153956,18.722,52.907,593-072-73192
72153927,20.923,52.313,593-072-73189
27593633,15.892,54.03,386
338760,15.475,52.254,163
344340,18.53,50.826,304
1205059,20.782,51.896,593-072/71693
1203350,17.586,51.34,593-072/71705
28795774,21.047,52.19,593-071/71074
4407422,18.261,54.604,593-072/72000
4692295,19.41,51.85,593-072/72005
305940,19.419,51.663,177
28795794,21.046,52.19,593-071/71073
43322345,20.076,50.265,390
8001671,22.889,53.834,370
570276,18.719,49.967,593-072/71685
1203346,22.304,50.968,593-072/71697
3714020,16.684,52.118,593-072/71990
3714591,16.274,51.352,593-072/71970
302080,23.489,52.038,113
4170877,16.118,52.395,593-072/71996
1203330,18.581,50.797,593-072/71681
9704114,17.333,54.205,593-072/72009
7507712,21.417,50.811,593-072/72040
354550,17.824,51.726,182
307440,21.139,51.948,165
70721741,21.031,52.234,593-072-73162
327960,22.253,52.975,106
354720,20.277,49.977,231
320150,20.504,52.84,593-072/71518
3210838,18.916,50.171,593-072/71964
326180,19.744,53.647,140
340200,14.713,52.742,283
328420,23.042,52.753,276
305480,20.99,52.505,99
570290,19.883,49.925,593-072/71672
332450,20.145,53.723,295
328190,22.979,53.934,155
3807838,21.306,53.856,593-072/71986
353110,16.192,52.132,190
302480,21.548,52.262,103
301620,22.88,52.029,111
345260,19.495,50.493,168
332220,21.146,53.845,204
1203331,18.61,50.752,593-072/71682
570300,15.598,53.281,593-072/71605
324630,18.101,54.186,241
350750,18.159,52.24,255
315740,16.201,51.696,593-072/71514
12213600,16.602,54.338,593-072/72055
8002011,19.46,51.097,361
70719120,21.045,52.237,593-072-73166
302940,19.645,52.184,300
4410976,22.365,53.804,339
300460,23.382,50.583,291
305250,21.495,51.366,312
343380,18.768,50.24,188
306750,21.488,52.066,115
570286,17.225,50.983,593-072/71606
349600,18.097,51.843,302
570289,23.263,52.93,593-072/71677
7459609,20.001,49.499,593-072/72035
354090,18.079,51.229,229
331530,20.474,53.837,274
4173617,21.284,51.846,593-072/71993
332910,21.464,53.239,248
330550,22.998,54.179,154
314650,22.339,50.331,144
336080,15.058,52.315,246
1203351,21.889,51.571,593-072/71716
314420,21.879,49.921,145
325490,18.668,53.486,211
342610,18.255,50.976,593-072/71540
3429067,19.979,50.163,593-072/71972
13066352,19.348,52.215,593-072/72062
3714983,16.285,51.244,593-072/71968
340780,14.49,53.221,282
351960,16.485,51.825,174
316430,16.827,50.646,593-072/71519
331760,20.653,54.163,203
312230,21.198,51.035,131
318870,22.637,51.426,185
4488976,22.503,51.559,337
319570,15.402,51.594,593-072/71539
4406969,18.811,53.522,593-072/71997
27593540,21.43,49.798,385
7997914,22.15,50.046,593-072/72038
321760,18.401,52.892,200
353690,15.964,52.374,193
356160,18.634,52.18,256
1234624,19.468,51.111,593-072/71706
1203348,23.057,53.169,593-072/71703
348270,17.682,50.759,166
338990,15.721,52.332,162
70674246,21.026,52.233,593-072-73161
323480,18.041,54.568,269
3713024,17.099,53.143,593-072/71992
317360,15.469,51.243,593-072/71526
7842239,16.833,50.987,593-072/72042
327040,22.938,54.119,153
312460,21.26,50.98,130
321070,19.499,53.594,213
328770,23.105,53.536,217
28795873,20.972,52.206,593-071/71380
1234681,20.138,51.54,593-072/71709
1205069,16.584,53.247,593-072/71680
3714930,16.658,50.428,593-072/71969
1255271,18.789,51.282,593-072/71702
347920,18.288,50.517,263
1255289,21.758,54.202,593-072/71708
354950,17.217,52.4,232
1205067,16.444,51.825,593-072/71687
28371888,20.957,52.338,593-072/71603
28796137,21.097,52.235,593-071/71374
312000,20.298,50.107,306
72153948,20.05,52.691,593-072-73191
342150,18.201,51.064,593-072/71541
306520,20.345,52.569,116
10997012,16.82,50.684,593-072/72052
355990,17.323,53.153,253
570291,20.563,50.932,593-072/71662
337480,14.514,53.421,158
570282,21.633,49.75,593-072/71665
358760,21.025,52.151,70
350060,17.191,53.16,252
357350,17.821,52.566,254
307790,20.423,52.213,224
1203332,21.922,52.461,593-072/71683
327270,20.945,53.406,156
5227873,16.588,52.057,347
302250,23.563,52.054,117
346760,18.075,50.605,259
1063934,17.697,50.142,324
343650,19.651,50.577,170
1255312,14.753,53.362,593-072/71712
1203335,22.122,50.894,593-072/71689
350290,17.344,52.375,196
7846920,18.611,53.026,593-072/72046
301270,22.66,51.809,110
12213621,21.61,51.485,593-072/72058
319800,20.287,52.818,593-072/71516
338530,15.016,52.584,285
28372037,21.081,52.294,593-072/71604
5627888,20.678,49.968,350
7998016,21.941,50.635,593-072/72041
4621405,18.654,53.556,342
322620,17.635,53.159,245
13226467,20.089,52.004,593-072/72034
1205061,16.287,51.741,593-072/71688
28222776,21.025,52.21,87
570296,21.08,50.776,593-072/71670
350520,18.088,52.243,209
315970,15.902,51.546,593-072/71509
