ID,Lon,Lat,nrSeryjny
6506534,18.833,50.137,ncar-h-ctrl-d000021
6289960,16.828,52.346,ncar-h-ctrl-d000010
8552896,20.861,52.039,ncar-h-ctrl-d000035
7250372,21.828,51.4,ncar-h-ctrl-d000032
6048838,18.362,54.38,ncar-h-ctrl-d000004
82080000,19.038,49.839,ncar-h-cpu-06b00105
27731738,20.935,52.363,ncar-h-cpuf4-000005
5927987,16.067,51.497,ncar-h-ctrl-d000001
31628787,17.591,53.151,ncar-h-cpuh5-000054
24687819,19.139,52.524,ncar-h-cpuf4-000001
7250318,21.828,51.4,ncar-h-ctrl-d000031
8552131,20.861,52.039,ncar-h-ctrl-d000036
8552725,20.935,52.363,ncar-h-ctrl-d000026
6507259,20.872,49.969,ncar-h-ctrl-d000023
8552241,21.114,52.334,ncar-h-ctrl-d000034
6289954,16.79,53.15,ncar-h-ctrl-d000009
13095255,22.061,50.576,ncar-h-ctrl-d000056
28974533,19.584,50.274,ncar-h-cpuh5-000018
6143675,18.362,54.38,ncar-h-ctrl-d000005
8552842,20.935,52.363,ncar-h-ctrl-d000029
31644065,22.061,50.576,ncar-h-cpuf4-000006
12796562,22.061,50.576,ncar-h-ctrl-d000046
6779888,17.591,53.151,ncar-h-ctrl-d000017
12796530,21.605,50.049,ncar-h-ctrl-d000054
12796520,21.605,50.049,ncar-h-ctrl-d000053
12796569,22.061,50.576,ncar-h-ctrl-d000047
8552162,20.935,52.363,ncar-h-ctrl-d000027
6443609,18.718,53.057,ncar-h-ctrl-d000014
6289966,16.828,52.346,ncar-h-ctrl-d000011
82079864,19.038,49.839,ncar-h-cpu-06b00103
6443623,18.718,53.057,ncar-h-ctrl-d000015
6289586,17.789,54.546,ncar-h-ctrl-d000006
9984691,20.935,52.363,ncar-h-ctrl-d000043
8552758,19.406,51.856,ncar-h-ctrl-d000028
12796545,21.605,50.049,ncar-h-ctrl-d000055
12796630,22.061,50.576,ncar-h-ctrl-d000048
24687831,19.139,52.524,ncar-h-cpuf4-000002
12796553,22.061,50.576,ncar-h-ctrl-d000045
82079977,19.038,49.839,ncar-h-cpu-06b00104
8552968,21.114,52.334,ncar-h-ctrl-d000033
6289941,16.79,53.15,ncar-h-ctrl-d000008
6048809,18.099,54.581,ncar-h-ctrl-d000007
12796605,22.061,50.576,ncar-h-ctrl-d000049
5927997,16.067,51.497,ncar-h-ctrl-d000002
8552222,19.406,51.856,ncar-h-ctrl-d000030
6506662,18.618,50.397,ncar-h-ctrl-d000019
6506621,18.833,50.137,ncar-h-ctrl-d000022
6507439,19.584,50.274,ncar-h-ctrl-d000024
12796660,22.061,50.576,ncar-h-ctrl-d000051
6506669,18.618,50.397,ncar-h-ctrl-d000020
